                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0881,                 5.1338,                 3.3803,                0.51021,                0.03956,                0.00613,                0.00181,                 2.7945,                  4.156,                 3.3133,                0.00017,                0.00017,                0.00017
                      2,                 2.7287,                 4.3601,                 3.0231,                0.68796,                 0.0571,                0.01488,                0.00511,                 2.6811,                 4.0722,                 3.0277,             0.00034654,             0.00034654,             0.00034654
                      3,                 2.7216,                 3.9981,                 2.9243,                0.69116,                0.02736,                0.01675,                0.00567,                 2.5741,                 3.5514,                 2.9327,             0.00051951,             0.00051951,             0.00051951
                      4,                 2.6201,                 3.8156,                 2.7929,                0.68952,                0.04194,                0.02185,                0.00676,                 2.5955,                 3.5063,                 2.9715,             0.00068891,             0.00068891,             0.00068891
                      5,                 2.5744,                 3.5178,                 2.6718,                0.55861,                0.09337,                0.03274,                0.01186,                 2.5698,                  3.547,                  2.927,             0.00085476,             0.00085476,             0.00085476
                      6,                 2.5023,                 3.3677,                 2.6564,                0.54733,                0.07342,                0.04074,                0.01374,                 2.5231,                 3.1402,                 2.9815,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.4328,                 3.3023,                  2.601,                0.59405,                0.09111,                0.06319,                0.02322,                 2.3847,                 3.1608,                 2.7383,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.4068,                 3.2362,                 2.5689,                0.57092,                0.11618,                0.06733,                0.02401,                 2.4147,                 3.2676,                  2.756,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.3683,                 3.0563,                  2.536,                0.74592,                0.09061,                0.07707,                0.03015,                  2.295,                 3.0357,                 2.6559,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.3233,                 3.0607,                 2.4933,                0.48333,                0.14797,                0.07775,                0.02674,                  2.309,                 2.9331,                 2.5894,              0.0009109,              0.0009109,              0.0009109
                     11,                 2.3233,                 3.0309,                 2.4548,                0.46226,                0.11521,                0.09033,                 0.0324,                 2.2752,                 2.6399,                 2.5854,               0.000901,               0.000901,               0.000901
                     12,                 2.2839,                 2.8648,                 2.4292,                0.11462,                0.16423,                0.09992,                0.03828,                 2.2618,                 2.7664,                 2.5439,              0.0008911,              0.0008911,              0.0008911
                     13,                  2.245,                 2.8422,                 2.3913,                0.22339,                0.14966,                0.12334,                0.04773,                 2.2533,                 3.0455,                 2.5424,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.2283,                 2.7651,                 2.3829,                0.69274,                0.11488,                0.12452,                0.04607,                 2.2084,                 2.9819,                 2.5303,              0.0008713,              0.0008713,              0.0008713
                     15,                 2.2337,                 2.5999,                 2.3463,                0.33683,                0.16719,                0.14997,                0.05967,                 2.1474,                 2.4594,                 2.4537,              0.0008614,              0.0008614,              0.0008614
