                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6558,                 1.5887,                 1.7468,                0.57921,                0.67531,                 0.6568,                0.40931,                 1.4071,                 1.2831,                 1.7327,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.6201,                  1.431,                  1.695,                0.54074,                   0.65,                0.57992,                 0.3129,                 1.6509,                  1.485,                 1.8747,             0.00021456,             0.00021456,             0.00021456
                      3,                  1.686,                 1.4935,                 1.8142,                0.54689,                 0.6571,                0.62158,                 0.3767,                 1.4611,                  1.393,                 1.7727,              0.0003268,              0.0003268,              0.0003268
                      4,                 1.6345,                 1.4865,                 1.7413,                 0.5672,                0.67735,                0.64248,                 0.3981,                 1.4113,                 1.3813,                 1.7239,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.6385,                 1.5715,                 1.8097,                0.48985,                0.64588,                0.49795,                0.29545,                 1.5074,                 1.5236,                 1.8256,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.6974,                 1.5738,                 1.8548,                 0.5001,                0.61288,                0.57439,                0.34313,                  1.488,                 1.4263,                 1.8558,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.5902,                 1.4942,                 1.7376,                0.51692,                0.66511,                0.60354,                0.36764,                 1.4014,                 1.3782,                 1.7923,             0.00075263,             0.00075263,             0.00075263
                      8,                  1.615,                  1.497,                 1.7608,                0.51063,                0.62164,                0.51714,                0.31881,                 1.4121,                 1.5612,                 1.7051,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.5931,                 1.4655,                 1.7395,                0.50841,                0.63553,                0.52995,                0.32334,                 1.4179,                 1.4645,                 1.6745,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.5238,                 1.4581,                 1.7203,                0.57372,                0.68445,                0.59357,                0.37546,                 1.3515,                 1.3108,                 1.6472,              0.0010477,              0.0010477,              0.0010477
                     11,                 1.5157,                 1.3578,                 1.6328,                0.54294,                0.68548,                0.59584,                0.36106,                 1.4291,                 1.3396,                 1.7181,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.5125,                 1.4551,                 1.7264,                0.48243,                0.68757,                0.51671,                0.31021,                 1.4827,                 1.4947,                  1.817,              0.0012329,              0.0012329,              0.0012329
                     13,                 1.5278,                  1.421,                 1.7155,                0.46888,                0.67003,                0.50762,                0.32126,                 1.3549,                 1.4402,                 1.6893,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.5415,                 1.5889,                 1.6796,                0.52497,                0.67682,                0.61577,                0.36889,                 1.4317,                 1.3895,                 1.6979,              0.0014089,              0.0014089,              0.0014089
                     15,                 1.5043,                 1.3363,                 1.6137,                0.57055,                0.67926,                0.64409,                0.40011,                 1.3603,                 1.2939,                 1.6404,               0.001436,               0.001436,               0.001436
                     16,                 1.4895,                 1.3282,                 1.5941,                0.64068,                0.69661,                 0.7214,                0.44165,                 1.3999,                 1.2135,                 1.6775,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4201,                 1.2743,                 1.6037,                0.60432,                  0.763,                0.74031,                0.46962,                 1.2928,                  1.155,                  1.609,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4436,                 1.2753,                 1.6132,                0.62632,                0.75193,                0.69271,                0.45865,                 1.2158,                 1.1882,                 1.5317,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4109,                  1.285,                 1.6087,                 0.5334,                0.74868,                0.67662,                0.43194,                 1.2889,                 1.2446,                 1.6045,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4079,                 1.3694,                 1.6333,                0.67229,                0.74474,                0.74504,                0.48615,                 1.2385,                 1.1545,                 1.5173,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4236,                 1.2955,                 1.5203,                0.59037,                0.74936,                 0.6995,                0.44464,                 1.2712,                 1.2404,                 1.5632,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.4113,                  1.287,                 1.5693,                0.62574,                0.75512,                0.74841,                0.48096,                 1.2894,                 1.1146,                 1.5328,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3633,                 1.2403,                 1.5202,                 0.6235,                0.72208,                0.73224,                0.45845,                 1.2931,                 1.1845,                 1.5747,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.3659,                 1.2801,                 1.5322,                0.71029,                0.76136,                0.80863,                0.49761,                 1.3154,                 1.0784,                 1.5705,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3878,                 1.1991,                 1.5052,                0.69347,                0.75085,                 0.7847,                0.50528,                 1.2551,                 1.1238,                 1.5535,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3371,                 1.2103,                 1.5443,                0.70079,                0.75391,                0.79079,                0.52059,                 1.2339,                 1.1271,                 1.5311,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3465,                 1.2411,                 1.4997,                0.69671,                0.75598,                0.77533,                0.52874,                 1.1117,                 1.0574,                 1.4293,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2974,                 1.2013,                 1.5234,                0.68764,                0.72666,                0.75198,                0.50368,                 1.1999,                  1.103,                 1.4906,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2986,                 1.1649,                  1.486,                0.69572,                0.73637,                0.73429,                 0.4903,                 1.2255,                  1.148,                 1.5117,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3475,                 1.1622,                 1.4619,                0.69313,                0.77493,                0.78806,                0.54208,                 1.1523,                 1.0462,                 1.4128,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.3095,                  1.124,                 1.4462,                0.71826,                0.75797,                0.82335,                0.55457,                 1.1775,                 1.0389,                 1.4679,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3433,                 1.1337,                 1.4807,                0.71808,                0.69837,                0.75717,                 0.5271,                 1.1448,                  1.053,                 1.4353,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.2767,                 1.1423,                 1.4519,                0.63862,                 0.7496,                0.72985,                0.51168,                 1.1164,                 1.0775,                 1.4207,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3283,                 1.1504,                 1.4254,                0.72373,                0.77494,                0.79233,                0.52994,                 1.2316,                 1.0664,                 1.4723,              0.0011224,              0.0011224,              0.0011224
